movie_id,description,number_different_values
tt0018624,"[['American mining engineer Jim McClellan is in love with Dolores de Silva, daughter of the deposed president of a Latin American country. He becomes involved in the revolution when he ...                See full summary\xa0»'], ['Add a Plot'], ['Add a Plot']]",2
tt2345539,"[['When Martín and Sol try to solve the enigma of a missing neighbor, they will discover that nothing is what it seems, that your hearing can trick you just like your imagination and that the heart is a double-edged weapon.'], ['When Martín and Sol try to solve the mystery of a missing neighbor, they will discover that nothing is what it seems, that your hearing can trick you just like your imagination and that the heart is a double-edged weapon.'], ['When Martín and Sol try to solve the enigma of a missing neighbor, they will discover that nothing is what it seems, that your hearing can trick you just like your imagination and that the heart is a double-edged weapon.']]",2
tt22872370,"[[""Yong hears a stranger's voice from the future, connecting them to each other and sharing their love stories.""], ['On a night when the total lunar eclipse occurs, a stranger\'s voice from the future echoes through the antique radio inside Yong (Yeo Jin-goo)\'s room. ""Do you hear?"" The mysterious radio ...                See full summary\xa0»']]",2
tt22868844,"[['In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King,"" to overcome adversity, prove his power, and keep his oath with his friends.'], ['Add a Plot'], ['Add a Plot'], ['Add a Plot'], ['Add a Plot']]",2
tt22474922,"[[""V, an elite military assassin escapes a life of killing and is taken in by a family suffering from much loss. When a life of love looks possible for them all, V's past suddenly puts them all in danger.""], ['A military assassin escapes a life of killing and discovers a life of love.']]",2
tt21879688,"[[""Jake Bishop has been an exemplary Executive Protection Medic with a distinguished career but life hasn't always been that way for him. There have been miscues, failures, wrong turns and one...                See full summary\xa0»""], ['Jake Bishop has been an exemplary Executive Protection Medic with a distinguished career until events happen that take him out of the business after a thirty year career. Nikida his old ...                See full summary\xa0»']]",2
tt21629158,"[['A lesbian fighter becomes the bodyguard to the leader of a worldwide revolution against a tyrannical corporate-state, only to fall in love with her as they fight to change the world.'], ['In a world ruled by a brutal and dehumanizing corporation, two teenage girls with traumatic pasts join forces, start a revolution, and fall in love as they fight to overthrow the corporation and liberate the world.'], ['In a world ruled by a brutal and dehumanizing corporation, two teenage girls with traumatic pasts join forces, start a revolution, and fall in love as they fight to overthrow the corporation and liberate the world.'], ['In a world ruled by a brutal and dehumanizing corporation, two teenage girls with traumatic pasts join forces, start a revolution, and fall in love as they fight to overthrow the corporation and liberate the world.']]",2
tt21153446,"[[""After a guarded romantic meets his perfect counterpart, life's challenges threaten to tear them apart. As they face their fears and insecurities, their intense connection is tested, and ...                See full summary\xa0»""], ['After a troubled 13 yr old encounters a future version of himself, he discovers that he must complete an impossible set of tasks to save his friends. Meanwhile, a depressed man facing ...                See full summary\xa0»'], ['After a troubled 13 yr old encounters a future version of himself, he discovers that he must complete an impossible set of tasks to save his friends. Meanwhile, a depressed man facing ...                See full summary\xa0»']]",2
tt19755170,"[['A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can rise up his social position.'], ['It tells the story of a small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can rise up his social position.']]",2
tt19413836,"[[""Follow Ryo Saeba's history and the demise of his colleague, Hideyuki Makimura.""], [""Follow Ryo Saeba's history and the demise of his colleague, Hideyuki Makimura.""], ['Add a Plot'], ['Add a Plot']]",2
tt19380876,"[['Hope is in a new passionate relationship and has a good job but soon finds her world turned upside down when her personal life becomes entangled with her work life.'], [""As Hope's sexual life steams up, her work as an ER doctor takes a turn for the worse when an abusive husband of a battered patient blames her for his misgivings. Soon, Hope's personal life ...                See full summary\xa0»""]]",2
tt19047064,"[['Follows the klutzy apprentice witch Fûka when she breaks the seal of a dark witch who once almost destroyed the world.'], ['Add a Plot']]",2
tt1854254,"[['Red roses and black butterflies with excellent martial arts have become the bodyguards of business giants. When the real and fake general managers emerge, they timely rescued the chairman ...                See full summary\xa0»'], ['Add a Plot']]",2
tt15464742,"[['Kali Jotta is an upcoming Punjabi movie scheduled to be released on 3 Feb, 2023. The movie is directed by Vijay Kumar Arora and will feature Neeru Bajwa, Satinder Sartaaj and Wamiqa Gabbi ...                See full summary\xa0»'], ['Kali Jotta revolves around the life and struggle of Raabia and her student Anant. Their relationship raises various questions and disagreements towards the politics of gender performativity in Indian cultural system.']]",2
tt15326988,"[[""Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.""], ['Plot under wraps.'], ['Plot under wraps.']]",2
tt14967958,"[['During an unusual summer vacation in Iceland, the Don Glees boys discover a treasure.'], ['During an unusual summer vacation in Iceland, the DonGlees boys discover a treasure.']]",2
tt14857720,"[[""All Reese wants for Christmas is two permanent legs and her scales to not pop up when it rains. Except sirens, like Reese, can't control their shifting. Until she finds a loophole, the key to having the life she's always wanted.""], ['Nasa astronauts and 7 tourists aboard the space shuttle Odyssey are unexpectedly sucked through a worm hole hidden behind the moon.']]",2
tt14210968,"[['The Haunting of Lanquetot, set in present day Normandy France is an adrenaline fueled comedy horror of murder, human weakness and an historical love tale brought to life through one girls struggle, Chantilly, to escape her own limitations.'], ['Add a Plot']]",2
tt13832474,"[['Add a Plot'], ['Add a Plot'], ['Add a Plot'], ['A teacher tells his students the story of Rosendo Fierro, who was a messenger in the Revolution.']]",2
tt13130948,"[['Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.'], ['Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss show him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.']]",2
tt1302006,"[['Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.'], [""An illustration of Frank Sheeran's life, from WWII veteran, to hitman for the Bufalino crime family and his alleged assassination of close friend, Jimmy Hoffa.""]]",2
tt12794540,"[[""Based on the mysterious legend of Idilia Dubb. Germany, 19th century, Middle Rhein Valley. The dreamy Idilia (Lea van Acken) awakes injured in the midst of a gloomy castle ruin and can't ...                See full summary\xa0»""], ['Based on the mysterious legend of Idilia Dubb. Germany, 19th century, in the Middle Rhine Valley. 17-year-old Idilia (Lea van Acken) wakes up badly injured in the middle of a gloomy castle ...                See full summary\xa0»'], [""Based on the mysterious legend of Idilia Dubb. Germany, 19th century, Middle Rhein Valley. The dreamy Idilia (Lea van Acken) awakes injured in the midst of a gloomy castle ruin and can't ...                See full summary\xa0»""]]",2
tt12758060,"[[""An American and Russian computer geek form an unlikely friendship as they try to evade the KGB and smuggle the world's most famous video game out of the Soviet Union.""], [""The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses.""]]",2
tt12471010,"[['Two Savannah kittens, Scribbles and Pearl are flown over from the U.K. to meet the new family and neighbors in Southern Califronia. Once they arrive in their new home adventure, mayhem, and fun begins.'], ['Two Savannah kittens, Scribbles and Pearl, are flown over from the U.K. to meet their new family and neighbors in Southern California. Once they arrive in their new home, adventure, mayhem and fun begins.']]",2
tt11478236,"[['Add a Plot'], ['Set in Y-Academy, an elite school that only allows students with top class abilities to enter. The protagonist, Jinpei Jiba, and his unique friends take on the mysteries of the school as transforming heroes.'], ['Add a Plot'], ['Add a Plot'], ['Add a Plot']]",2
tt2301592,"[['In a Chilean little town, the son of an uprooted couple, formed by a rigorous communist father and a loving but weak mother, tries to pave his own path in a society that does not understand their Jewish-Ukrainian origins.'], ['In a little Chilean town, the son of an uprooted couple formed by a rigorous communist father and a loving but weak mother tries to pave his own path in a society that does not understand their Jewish-Ukrainian origins.']]",2
tt24806744,"[['This 45-minute feature length special features your favorites from the School of Drama series; dancing the night away.'], ['When something big happens at Drama High, the girls and guys come together to fight the terrible creature. Then, they dance the night away.'], ['When something big happens at Drama High, the girls and guys come together to fight the terrible creature. Then, they dance the night away.']]",2
tt10645276,"[['Ecosystem damage in All waters. Kiko the goldfish and his friends who live in Asri City, must go on an adventure with Princess Clara the mermaid from Shell Castle, looking for the Five ...                See full summary\xa0»'], ['An adventure of 5 friends, Kiko, Poli, Lola, Tingting and Patino to help a royal princess find five lost pearls in order to restore a broken kingdom.'], ['Ecosystem damage in All waters. Kiko the goldfish and his friends who live in Asri City, must go on an adventure with Princess Clara the mermaid from Shell Castle, looking for the Five ...                See full summary\xa0»']]",2
tt24850716,"[['Add a Plot'], ['A young duck named Max who joins a force of other ducks as they living in an island where bad dogs comes out of life.']]",2
tt9072932,"[[""One day, the Mobile Rescue Police is attacked by the mysterious boy, Terra. His identity was an android the Evil AI was operating. Because of Terra's powerful energy, Gou and the others are...                See full summary\xa0»""], ['Add a Plot'], ['Add a Plot']]",2
tt8876854,"[['""Modern Arcana,"" a kaleidoscopic reincarnation romance about two souls who meet in the afterlife and take turns living lives of their choice. Should they give it all up for one life together, and who says love only lasts one lifetime?'], ['Modern Arcana is a psychedelic dance romance about two beings. Only one can live at a time, but in the afterlife they are together for eternity. When Estelle starts questioning, why not stay dead, who says love has to last a lifetime?']]",2
tt8589698,"[['CG-animated feature film based on the superhero team'], ['The Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.'], ['CG-animated feature film based on the superhero team'], ['CG-animated feature film based on the superhero team'], ['CG-animated feature film based on the superhero team'], ['CG-animated feature film based on the superhero team']]",2
tt7956588,"[['A young couple who meet while on a suicide mission has much to do with love, suspense and murder. Despite their mission being a deadly and intriguing one the couple fall in love as all young people do when in exciting situations.'], ['A young couple meet while on a suicide mission that has much to do with love, suspense, and murder. Despite their mission being deadly and intriguing, the couple falls in love, as all young people do when in exciting situations.'], ['A young couple who meet while on a suicide mission has much to do with love, suspense and murder. Despite their mission being a deadly and intriguing one the couple fall in love as all young people do when in exciting situations.']]",2
tt7782420,"[['Two sisters of an upper middle class burgher family to revive their century old family business - a funeral service, now on the verge of closure.The reason for the failure of the business ...                See full summary\xa0»'], ['Two sisters of an upper-middle-class burgher family revive their century-old family business: a funeral service that is now on the verge of closure. The reason for the failure of the ...                See full summary\xa0»']]",2
tt7641174,"[['This is a film that showing the epic battle and struggle a group of uneducated villagers went through to get its independence back in 1948 and its discusses a ""secret"" what happened between...                See full summary\xa0»'], ['This is a film that depicts the epic battle and struggle a group of uneducated villagers went through to get its independence back in 1948 and discusses a ""secret"": what happened between ...                See full summary\xa0»'], ['This is a film that showing the epic battle and struggle a group of uneducated villagers went through to get its independence back in 1948 and its discusses a ""secret"" what happened between...                See full summary\xa0»'], ['This is a film that showing the epic battle and struggle a group of uneducated villagers went through to get its independence back in 1948 and its discusses a ""secret"" what happened between...                See full summary\xa0»'], ['This is a film that showing the epic battle and struggle a group of uneducated villagers went through to get its independence back in 1948 and its discusses a ""secret"" what happened between...                See full summary\xa0»']]",2
tt6886686,"[['This is a film about the film for films.'], ['Four university students join a philosophy class about Anti-natalism, the ethical view which argues that humans should abstain from procreation, because it is morally wrong, then they face pregnancy and suicidal desire.'], ['This is a film about the film for films.']]",2
