Description,True Labels,Predicted Labels
the sheriff of coastal town attempt to keep the townsfolk calm after multiple disfigure dead body turn up the town Urban legend have it that once decade Blood Beast return for his ritual sacrifice could this be the cause,['Horror'],['Horror']
east German make Black and white film show the experience of 14 year old boy Martin set in 1920 the time of the Kapp Putsch,"['Family', 'History']","['Family', 'History']"
"retire kickboxing champ be force to fight back to avenge his girlfriend ""s"" murder",['Action'],['Action']
down on her luck scream queen travel to small town horror convention where serial killer disguise as the villain from her franchise terrorize the event,['Horror'],['Horror']
"in """" Chintamani and bird """" we witness the collector ""s"" obsession of M.D. Vitásek who discover unique Persian carpet in junk shop the journey to acquire it be more than little harrowing the owner of the junk shop Mrs. Severýnová have no idea about the value of the carpet and so she use it as bed for her female dog Amina the noble Dr. Vitasek eventually get involved with burglar because of his passion in """" Tales of Marriage Swindler """" Inspector Holub search for previously unknown and elusive man who have swindle ten of thousand of crown from lonely elderly woman what be his surprise when after some time he track down well know firm the former lottery ticket swindler Mr. Plichta he have to acquire five gold tooth after his prison term which make he look attractive and trustworthy to the old lady and so he begin to put his newfound ability to good use and he can not stop even after his arrest on his way to the police station","['Comedy', 'Crime']","['Comedy', 'Crime']"
Secret agent fx 18 go undercover to break up espionage ring,['Action'],['Action']
somewhere in apocalyptic future where the rich live underground and the poor be leave to fend for themselves on the surface by form gang corrupt member of underground security force plot to destroy the surface,"['Action', 'Sci-Fi']","['Action', 'Sci-Fi']"
at Danish town council vote new individualist break party line voting against bulldoze old house in the center that evening he meet Don Olsen in pub they get drunk and nothing will ever be the same again,"['Comedy', 'Family']","['Comedy', 'Family']"
order go out from North Korea to kidnap South Korean tourist at the Tokyo Expo and bring they to the north,['Action'],['Action']
Bone and Bear two rough and tough biker ride out from Sturgis to the marsh of South Carolina to help out their bro Ironbutt Garrett whose land be be eye by the money grubbing domineer Calvin Hogg,['Action'],['Action']
"Fraser ""s"" unrequited love for the beautiful and rich Ginny get chance to prove itself when she be suddenly kidnap he team up with rebel Mac who be get score to settle with the kidnapper together they cross the country look for Ginny and the bad guy","['Action', 'Comedy']","['Action', 'Comedy']"
"group of youngster have fun use their ingenuity to build their own go -kart with the hope of eclipse rival child ""s"" gang and beat they at the local race track",['Family'],['Family']
the life story of Carlos Peña pro-baseball hopeful who immigrate to America from the Dominican Republic and brave extreme adversity to play his way to baseball stardom,"['Biography', 'Sport']","['Biography', 'Sport']"
"see """" Lastik ""man"" transform himself into thousand and one shape see """" Lastik ""man"" combat crime experience the ultimate in thrill","['Action', 'Fantasy']","['Action', 'Fantasy']"
conman get mix up with group of thief who plan to rob Istanbul museum to steal jewel dagger,"['Adventure', 'Comedy', 'Crime']","['Adventure', 'Comedy', 'Crime']"
in 1964 group of scientist create portal that take they to barren mutant inhabit Earth in the year 2071,['Sci-Fi'],['Sci-Fi']
"this movie be divide into three part Wicked tell of curse village tattoo be about curse tattoo and Wife ""s"" Curse follow curse man",['Horror'],['Horror']
Carter meet Toni and impulsively marry her to find that they disagree on everything they separate and seven year late on the eve before their divorce they meet again and spend the night together,"['Comedy', 'Romance']","['Comedy', 'Romance']"
this early 1960s film depict the trivial pursuit and relationship of two college age girl on weekend vacation to luxury resort in Puerto Rico,['Romance'],['Romance']
mad scientist create hideous monster to carry out his murderous plan,"['Horror', 'Sci-Fi']","['Horror', 'Sci-Fi']"
Toh be on trial for the brutal murder of his brother Wah as the court case unfold and witness take the stand horrific tale of sibling abuse domestic violence and all round thuggery ensue,"['Crime', 'Thriller']","['Crime', 'Thriller']"
Antonio and Vicenta have just marry and be ready to start their life together with unforgettable honeymoon trip but it be only possible for they to go to Pamplona during the Sanfermines they expect to spend few romantic and lonely day but they find city crowd with stranger and they can not even find place to stay for the night finally the owner of pension prepare bed for they in the lobby but they will have to wait for all the guest to return to lie down,"['Comedy', 'Romance']","['Comedy', 'Romance']"
wonder gunfighter play two rival family against each other in town tear apart by greed pride and revenge,"['Action', 'Western']","['Action', 'Western']"
"the journalist Claudius and the rich man ""s"" daughter Dorte fall in love but Dorte ""s"" father who be diaper manufacturer do not have much of scam for the unemployed Claudius to be able to marry the young couple must therefore prove that they can earn living themselves and what they lack in business sense they compensate for with creative invention","['Comedy', 'Romance']","['Comedy', 'Romance']"
Vladimir be young officer who settle in small town he fall for Maria the pretty daughter of widow from whom he rent room neither be able to commit to each other until he be call away for active duty during the cold winter,['Romance'],['Romance']
European prince terrorize the local peasantry while use his castle as refuge against the Red death plague that stalk the land,['Horror'],['Horror']
group of university student be assign to do research on the existence of mystic in the malay culture and present it in film,"['Horror', 'Mystery']","['Horror', 'Mystery']"
"blacksmith fall off his bicycle when he try to avoid tortoise which cross his path he bring the animal home to his twelve year old son Rabi who become so fascinate that he forget his chore at this father ""s"" shop when the angry smith remove the tortoise Rabi ""s"" grandfather Pusga help Rabi find large one to consol the boy Rabi want to tame the animal and this new obsession lead he to defy parental authority Pusga gently open the boy ""s"" eye to the visible and invisible way of nature Rabi start to understand liberty responsibility and respect for life in turn he awaken long bury sentiment in the grandfather",['Family'],['Family']
during trip man fall in love with woman but they soon lose contact with each other they meet many year late and get married but she be hide secret which she do not wish to reveal,['Romance'],['Romance']
the parent have no time for little Mísa so he befriend old lonely man the owner of mysterious shed which hide many tempting and surprising attraction treasure and trinket,['Family'],['Family']
