Description,True Labels,Predicted Labels
"Josephine Leeds be curse by the townspeople of Shroud ""s"" Point for be the widow of traitor and ultimately whore she be outcast and leave to fon for herself and her family one by one Josephine ""s"" child fall to starvation and as they die she feed their remains to herself and her survive child what start as struggle for survival become blood lust that consume her and slowly drive her insane by the time she be pregnant with her last child she swear it would be bear without soul because of what she have do Josephine vow vengeance upon the person of Shroud ""s"" Point for forsake her and her soul less child would carry it out bear deform of body and soul the Leeds baby would feed on what it have taste for ... human flesh two hundred and sixty year late ... the legend continue",['Horror'],['Horror']
crippled circus acrobat be tear emotionally between two ambitious young trapeze artist one talented young American and less gift but beautiful Italian,"['Drama', 'Romance']","['Drama', 'Romance']"
when God appear to assistant grocery manager as good natured old man the Almighty select he as his messenger for the modern world,"['Comedy', 'Fantasy']","['Comedy', 'Fantasy']"
"hospital nurse be possess by evil spirit and proceed to kill off the hospital ""s"" patient",['Horror'],['Horror']
in 1964 group of scientist create portal that take they to barren mutant inhabit Earth in the year 2071,['Sci-Fi'],['Sci-Fi']
"Boxer Rocky Graziano ""s"" biopic base on his autobiography from childhood to his World Middleweight Championship title win at age 28 in 1947","['Biography', 'Drama', 'Sport']","['Biography', 'Drama', 'Sport']"
conman get mix up with group of thief who plan to rob Istanbul museum to steal jewel dagger,"['Adventure', 'Comedy', 'Crime']","['Adventure', 'Comedy', 'Crime']"
the personal and professional life of three man from different walk of life who join the U.S. Army Air Corps be depict,"['Drama', 'War']","['Drama', 'War']"
Angry and aggressive orphan Lotus Lin get raise as Buddhist in Shaolin temple after her mother die in the wake of give birth to her in prison consume with rage Lin get expel from the temple and decide to exact harsh revenge on the four man who kill her father and send her mother to jail,"['Action', 'Drama']","['Action', 'Drama']"
in this sequel to Love Story 1970 grieve Oliver be be pressured by his in law to move on and take part in the family business he meet pretty heiress and they start dating but memory of Jennie come rush back,"['Drama', 'Romance']","['Drama', 'Romance']"
Mike be lonely Australian boy live in coastal wilderness with his reclusive father in search of friendship he encounter aboriginal native loner and the two form bond in the care of orphane pelican,"['Drama', 'Family']","['Drama', 'Family']"
"Myra and Roy meet and fall in love on Waterloo Bridge during air raid their love will be one of the war ""s"" unspoken casualty","['Drama', 'Romance', 'War']","['Drama', 'Romance', 'War']"
"Karel Bursík """" Lukás Vaculík """" qv as child call Kajda recall his childhood spend in Prague Zizkov his father """" Vladimír Mensík """" qv shoe- maker move there his wife and three child hope they would escape country poverty he soon throw his daughter Vera """" Zlata Adamovská """" qv out of home he do not like her relationship with married man the competition of Bata factory be unsurpassable for minor craftsman Bursík and his neighbour owe he for minor service the desperate Bursík send Kajda to sell his mother ""s"" dress to get money for food in second hand shop Kajda meet his first love","['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']"
two teenager boy from the rural and girl from the urban family fall in love problem arise when the girl get pregnant this movie be the first in one of the most popular series in the former Yugoslavia,"['Comedy', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']"
